프로그램명,신청대상,프로그램 목표,프로그램 주요내용,프로그램 분류,학부,학적,학년,창의·혁신역량,자기주도적 학습역량,지식·정보·기술 활용역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
모의면접 해외영업1  경영지원1,학부KFL학부,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",-,전체,전체,전체,50,25,25,0,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
모의면접 삼성전자1 공기업1,-,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",-,전체,전체,전체,50,25,25,0,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
모의면접 기초반면접컨설팅2 IT 기획,-,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",-,전체,전체,전체,50,25,25,0,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
모의면접 기초반면접컨설팅1 생산품질관리,학부KFL학부,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
면접특강_2단계 기업직무별 면접사례 분석,학부KFL학부,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
모의면접 삼성전자2 공기업2,-,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",-,전체,전체,전체,50,25,25,0,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
모의면접 해외영업2  영업마케팅,-,"사기업, 공기업 면접 핵심전략을 수립하고 단계별, 직무별 면접 기술 습득을 통해 최종 합격을 목표로 함.","구직자 716 면접 보고 후회  면접 경험이 있는 구직자 1091명 대상 조사  알바몬
 1위 지나치게 긴장했던 것 439
2위 뒤늦게 질문의 답변이 생각난 것 334
3위 면접관의 압박질문에 당황한 것 327
 철저하게 준비하고 연습하면 나아질 수 있습니다  
 면접 특강을 통해 학습하고 모의 면접을 통해 실전 연습 하시길 바랍니다 
  ",-,전체,전체,전체,50,25,25,0,0,0,"공기업, 면접, 사기업, 수립하고, 합격을, 습득을, 통해, 목표로, 직무별, 기술","면접관의, 당황한, 질문의, 연습하면, 면접, 모의, 학습하고, 압박질문에, 구직자, 경험이"
취준생을 위한 자기소개서 특강 중간점검,학부KFL학부,자기소개서 작성 방법 및 합격 사례 제시, ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"방법, 작성, 자기소개서, 합격, 제시, 사례",
특교원 20232학기 특수외국어교육진흥원 온라인 인턴십,-,기업이 필요로 하는 특수외국어 인재 양성 및 확대를 위한 체제 마련하고 학생들이 학업과 병행할 수 있도록 온라인 시간제 인턴십 기회를 제공함,"특수외국어진흥사업 학과에서 최종 선발된 특수 외국어 전공 학생을 대상으로 운영합니다
문의 0221732846 특수외국어교육진흥원
 1 실습 전 장학금 지급 서류
  ① 서약서
  ② 개인정보수집이용동의서
  ③ 통장 사본 본인명의 신분증 사본은 생략 함
  ④ 재학증명서 발급일  330일 부터
이메일 cflehufsackr로 제출
 2 실습 시작 후 및 실습 과정 중
  ① 주간 보고서 제출 5주 마다 제출  실습 중 총 2회 업로드
    실습 중 매주 상시 작성함
    주간 보고서에 기관기업 담당자 서명 필수 서명이 없을 시 장학금 지급에 차질이 있음
    5주 차 후에 HUFSAbility 과제 제출에 15주차 주간보고서 업로드
    10주 차 후에 HUFSAbility 과제 제출에 610주차 주간보고서 및 최종결과보고서 업로드
과제 제출은 HUFSAbiltiy 과제 제출에 업로드
 ",-,단과대학 ,재학 ,1학년 2학년 3학년 4학년 ,50,0,0,0,50,0,"병행할, 인턴십, 마련하고, 학생들이, 기업이, 시간제, 온라인, 학업과, 제공함, 인재","개인정보수집이용동의서, 본인명의, 재학증명서, 서명이, 신분증, 학생을, 운영합니다, 통장, 전공, 과정"
2023 한국외국어대학교 창업캠프,학부KFL학부,"창업캠프를 통하여 아이템을 구체화하고, 멘토링을 통해 현상태를 점검 및 진단하며, 정부지원 사업에 지원할 수 있도록 사업계획서 작성방법 및 전략을 배워봅시다.","안녕하세요
창업인재양성센터에서는 2023 한국외대 창업캠프를 상기와 같이 참여할 학생을 모집합니다
필히 첨부된 참여 신청서를 작성하여 첨부 후에 신청하시기 바랍니다 
 창업에 관심이 있는 개인 또는 3인 이하의 팀을 구성하여 신청 바랍니다
 개인으로 참여 시 현장에서 팀 구성에 도움을 드리며 구성된 팀 내에서 프로그램 참여가 가능합니다
팀으로 신청 시 실제 캠프에 참여 가능한 팀원의 정보를 기재하여 팀장이 대표로 1회 신청합니다 3인 모두 개별적으로 신청 불필요
다만 개인정보 동의를 위하여 개인정보 동의서는 팀 대표가 제출 시에 3인 모두에 대한 동의서를 취합하여 제출하셔야 합니다
 창업에 관심이 있는 개인 또는 팀 활동 학생들의 많은 참여 부탁드립니다
 감사합니다",창업활동,단과대학 ,재학 휴학 비재학 ,1학년 2학년 3학년 4학년 5학년 ,25,25,25,0,25,0,"작성방법, 창업캠프를, 멘토링을, 통하여, 현상태를, 구체화하고, 정부지원, 통해, 배워봅시다, 사업에","신청하시기, 신청합니다, 안녕하세요, 상기와, 작성하여, 구성하여, 신청, 이하의, 학생들의, 동의서는"
