프로그램명,프로그램 분류,신청대상,프로그램 목표,프로그램 주요내용,학부,학적,학년,지식·정보·기술 활용역량,자기주도적 학습역량,창의·혁신역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
구매신세계인터내셔널 글로벌기업 현직자 직무특강,교육특강,학부KFL학부,글로벌기업 현직자의 특강으로 직무 중심 취업준비 완성,"   모든 특강 진행일 1일 전  오후 4시 접속링크 발송
 비대면 온라인 교육입니다
지역청년 타대학교 학생들도 참여하는 교육입니다
  문의  서울캠퍼스 진로취업지원센터 0221732145
    ",단과대학 ,전체,전체,50,50,0,0,0,0,"글로벌기업, 현직자의, 특강으로, 완성, 중심, 직무, 취업준비","지역청년, 교육입니다, 비대면, 문의, 온라인, 참여하는, 진행일, 모든, 학생들도, 오후"
인사딜로이트컨설팅 글로벌기업 현직자 직무특강,교육특강,학부KFL학부,글로벌기업 현직자의 특강으로 직무 중심 취업준비 완성,"   모든 특강 진행일 1일 전  오후 4시 접속링크 발송
 비대면 온라인 교육입니다
지역청년 타대학교 학생들도 참여하는 교육입니다
  문의  서울캠퍼스 진로취업지원센터 0221732145
    ",단과대학 ,전체,전체,50,50,0,0,0,0,"글로벌기업, 현직자의, 특강으로, 완성, 중심, 직무, 취업준비","지역청년, 교육입니다, 비대면, 문의, 온라인, 참여하는, 진행일, 모든, 학생들도, 오후"
데이터분석쿠팡 글로벌기업 현직자 직무특강,교육특강,학부KFL학부,글로벌기업 현직자의 특강으로 직무 중심 취업준비 완성,"   모든 특강 진행일 1일 전  오후 4시 접속링크 발송
 비대면 온라인 교육입니다
지역청년 타대학교 학생들도 참여하는 교육입니다
  문의  서울캠퍼스 진로취업지원센터 0221732145
    ",단과대학 ,전체,전체,50,50,0,0,0,0,"글로벌기업, 현직자의, 특강으로, 완성, 중심, 직무, 취업준비","지역청년, 교육입니다, 비대면, 문의, 온라인, 참여하는, 진행일, 모든, 학생들도, 오후"
자살예방교육Y생명지기,-,학부대학원,Y생명지기로서의 역할을 이해,"자살예방교육Y생명지기을 통해 심리적 위기 및 자살 예방에 도움을 줄 수 있습니다
신청 후 강의를 들을 수 없는 경우 아래의 방법으로 교육 컨텐츠를 수강신청해서 들어주시기 바랍니다
eclass 로그인  교육현황  개설과목 검색  비정규과목  자살예방교육Y생명지기
 ",전체,전체,전체,50,50,0,0,0,0,"y생명지기로서의, 역할을, 이해","수강신청해서, 비정규과목, 생명지기, 신청, 교육현황, 아래의, 강의를, 개설과목, 들어주시기, 컨텐츠를"
경영관리지멘스 가메사 글로벌기업 현직자 직무특강,교육특강,학부KFL학부,글로벌기업 현직자의 특강으로 직무 중심 취업준비 완성,"   모든 특강 진행일 1일 전  오후 4시 접속링크 발송
 비대면 온라인 교육입니다
지역청년 타대학교 학생들도 참여하는 교육입니다
  문의  서울캠퍼스 진로취업지원센터 0221732145
    ",단과대학 ,전체,전체,50,50,0,0,0,0,"글로벌기업, 현직자의, 특강으로, 완성, 중심, 직무, 취업준비","지역청년, 교육입니다, 비대면, 문의, 온라인, 참여하는, 진행일, 모든, 학생들도, 오후"
자살예방교육Y생명지기,교육특강,학부대학원,Y생명지기로서의 역할을 이해,"자살예방교육Y생명지기을 통해 심리적 위기 및 자살 예방에 도움을 줄 수 있습니다
 ",전체,전체,전체,50,50,0,0,0,0,"y생명지기로서의, 역할을, 이해","생명지기, 심리적, 자살, 자살예방교육, 있습니다, 위기, 예방에, 도움을, 통해"
중동진출 가이드 특강아랍중동 경제 소개  무역 실무 시장진출방법 소개,교육특강,학부KFL학부,"중동 시장, 경제를 이해하고 취업시장에서 무역전문가, 해외영업 전문가로서의 역할을 발견","네옴시티 빈살만 오일머니 만수르 사우디 두바이 
 새로운 미래 시장으로 주목받는 중동 아랍권에 대한 특강을 듣고 무역 해외영업 전문가의 역량을 키울 수 있는 특강입니다
 1 프로그램 명  중동진출 가이드 특강
2 대상  국제통상 무역 해외영업 분야 취업 준비생 및 중동 진출을 희망하는 모든 대학생 
3 일시  1113월1114화 19시부터 
4 교육방법  온라인 웹엑스 
5 강사  융합인재학부 노다솔 교수 
6 커리큘럼 
  가 1113월 이슬람 중동 경제의 이해  이슬람과 중동 경제 제4차 산업 혁명 시대에 중동의 경제 다각화 정책 관련분야 취업 준비방법 역량 강화 방법
  나 1114화 아랍 무역 실무의 이해  중동 무역 소개 특징나라별 특징과 대표 무역품이집트 사우디아라비아 아랍에미리트 시장진출 사례 진출전략 현업 소개무역 클래임 중재 사례 필요 역량 역량 취득 및 강화 방법
  ",단과대학 ,전체,전체,50,50,0,0,0,0,"전문가로서의, 무역전문가, 경제를, 역할을, 이해하고, 시장, 중동, 발견, 해외영업, 취업시장에서","중동의, 전문가의, 특징과, 중동진출, 시장진출, 실무의, 경제의, 시장으로, 국제통상, 특강입니다"
언어인지과학과 진로특강,교육특강,학부언어인지과학과,언어인지과학과 응용 영역과 이를 위한 기본 지식의 필요성 학습," 언어인지과학과 진로 및 자연어처리 데이터마이닝 관련 특강으로 언어학 전공자들의 진로 및 취업 준비에 대한 학문적 실무적 방향성을 배우는데 목표를 둔다
언어처리의 중요성과 언어학적 기본 지식의 필요성 등에 대한 내용을 배울 수 있도록한다
많은 참여를 위해 대면과 비대면을 병행하여 참가할 수 있도록 한다
   ",단과대학 ,전체,전체,0,50,50,0,0,0,"언어인지과학과, 영역과, 필요성, 응용, 지식의, 학습, 기본, 이를, 위한","언어인지과학과, 전공자들의, 중요성과, 언어처리의, 언어학적, 지식의, 병행하여, 실무적, 언어학, 자연어처리"
HUFS English Writing Tutoring 11월 2주차 116 1110,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,   ,단과대학 대학원 ,재학 휴학 수료 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의",
나와 우리 함께하는 시간대인관계 증진 집단상담,워크숍,학부KFL학부,대인관계 소통능력 키우기, ,단과대학 ,재학 휴학 수료 ,전체,0,0,0,25,75,0,"소통능력, 키우기, 대인관계",
2023 불가리아학 Cultural Dive In,교육특강,학부KFL학부그리스.불가리아학과,불가리아 학생들의 방문 행사를 통해 한-불 문화 교류를 경험한다.,"01 행사 내용
행사명 2023 불가리아학 Cultural Dive In
내용 한국과 불가리아 두 나라의 문화가 HUFS에서 만납니다 서로 다른 배경과 전통 하지만 하나의 열정으로 이어진 두 문화의 세계를 Cultural Dive In 과 함께 탐험하세요
 02 장소 및 시간
1st Dive in 
일시 11월 2일 목요일 15시17시78교시
방문 불가리아 18번학교 한국어반 친구들 
장소 글로벌캠퍼스 백년관 516호
2st Dive in
일시 11월 16일 목요일 15시17시78교시
방문 불가리아 청소년 대표단  
장소 글로벌캠퍼스 백년관 516호
 03 신청 방법
신청 방법 Hufsability를 통해 신청
관련 문의 heonyounghufsackr
유고결석계 신청 시 소속학과학년학번성명수업명교수님 성함수업 교시 작성하여 heonyounghufsackr로 보내주시길 바랍니다",전체,전체,전체,0,0,0,25,25,50,"경험한다, 학생들의, 행사를, 방문, 불가리아, 통해, 문화, 교류를","dive, 소속학과, 행사명, 18번학교, 배경과, 한국과, 신청, 문화가, 백년관, 문화의"
2023 HUFS특강 동문선배와 함께하는 토크콘서트엄홍길박병철,교육특강,학부학부,도전정신과 글로벌 리더십 함양,"  2023 HUFS 특강 동문 선배와 함께하는 토크콘서트

진로취업지원센터 X 제57대 총학생회 도약

우리 학교 동문 선배이신 에베레스트 트레이딩 대표 박병철 회장님과 엄홍길 대장님과 함께 하는 2023 HUFS 특강을 진행합니다 동문 선배님과 인생의 고민을 공유할 수 있는 자리를 마련하였으니 학우분들의 많은 관심 부탁드립니다
 
일시  202310 31 화 15001630
장소  서울캠퍼스 사회과학관 501호박병철 강의실
강연 대상  본교 재학생 지역주민일반인 지역 청년
신청 방법  HUFSabilityhufsackr 로그인 후 비교과  비교과 프로그램 신청
신청 기간  10월 17일 화  10월 31일 화 1000
문의  서울 진로취업지원센터 0221732235

현장 참여 가능자만 해당 페이지에서 신청 가능합니다
불가피하게 현장 참여가 어려운 경우 꼭 해당 페이지에서 취소 부탁드립니다불참 시 추후 프로그램 참여가 어렵습니다
신청취소분에 한해 31일화 오전 10시 현장 참여자를 추가 모집합니다
총학생회 공식 유튜브 및 메타버스플랫폼에서도 라이브 시청 가능합니다
 ",단과대학 ,전체,전체,25,25,25,0,25,0,"도전정신과, 리더십, 글로벌, 함양","hufsability, hufs, 인생의, 신청, 시청, 선배와, 엄홍길, 재학생, 학우분들의, 강의실"
특교원 포르투갈어과 현지 지역전문가 특강 스포츠 매니지먼트와 포르투갈어,-,학부포르투갈어과대학원,포르투갈어권 국가의 성장 잠재력과 비즈니스 기회에 대한 이해 제고," 포르투갈어과 동문 초청 현지 지역전문가 특강 안내
한국외국어대학교 포르투갈어과에서는 2023학년도 2학기 특수외국어교육진흥사업의 일환으로 아래와 같이 FC서울을 이끄는 젊은 단장 포르투갈어과 96학번 유성한 동문을 초청하여 특강을 개최하오니 관심 있는 재학생들의 많은 참여 바랍니다
   아    래  
 1 일 시  20231031화 1830
2 장 소  한국외국어대학교 교수회관 2층 세미나실
3 주 제  스포츠 매니지먼트와 포르투갈어
4 연 사  유 성 한 FC서울 단장
          약 력
           한국외국어대학교 포르투갈어과 졸업
           2004년 GS스포츠 입사
           2022년 FC서울 단장 부임
           현 FC서울 단장
           주요 경력 분야 선수지원팀 운영홍보팀 육성팀 사업개발팀
           참조 httpsnavermeIFFxKiD7
   2023 10
한국외국어대학교 포르투갈어과
  ",단과대학 대학원 ,전체,전체,0,25,0,0,25,50,"포르투갈어권, 성장, 잠재력과, 국가의, 비즈니스, 이해, 대한, 제고, 기회에","재학생들의, 포르투갈어과, 초청하여, 매니지먼트와, 일환으로, 포르투갈어과에서는, 지역전문가, 유성한, 96학번, 운영홍보팀"
HUFS English Writing Tutoring 10월 5주차 1030 113,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,   ,단과대학 대학원 ,재학 휴학 수료 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의",
